year,State,State.Minimum.Wage,State.Minimum.Wage.2020.Dollars,Federal.Minimum.Wage,Federal.Minimum.Wage.2020.Dollars,Effective.Minimum.Wage,Effective.Minimum.Wage.2020.Dollars,CPI.Average,Total Civilian Non-Institutional Population in State/Area,Total Civilian Labor Force in State/Area,Total Employment in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area,Real GDP (Biillion),Nominal GDP
1977,Massachusetts,2.1,8.96,2.2,9.39,2.2,9.39,60.6,4254166.667,2754621,2538286.333,216334.6667,7.866666667,2081.8,6682.8
1977,Michigan,2.2,9.39,2.2,9.39,2.2,9.39,60.6,6543083.333,4107483.083,3769485.583,337997.5,8.225,2081.8,6682.8
1977,Minnesota,1.8,7.68,2.2,9.39,2.2,9.39,60.6,2861666.667,1920115.167,1818828.583,101286.5833,5.275,2081.8,6682.8
1977,Mississippi,0,0,2.2,9.39,2.2,9.39,60.6,1690583.333,994388.5833,922687.9167,71700.66667,7.208333333,2081.8,6682.8
1977,Missouri,0,0,2.2,9.39,2.2,9.39,60.6,3535000,2204123.833,2071756.75,132367.0833,6.016666667,2081.8,6682.8
1977,Montana,1.8,7.68,2.2,9.39,2.2,9.39,60.6,550500,349025.5,327543.4167,21482.08333,6.15,2081.8,6682.8
1977,Nebraska,1.6,6.83,2.2,9.39,2.2,9.39,60.6,1114416.667,740085.5,715151.75,24933.75,3.366666667,2081.8,6682.8
1977,Nevada,2.2,9.39,2.2,9.39,2.2,9.39,60.6,492500,350490.0833,326811.4167,23678.66667,6.766666667,2081.8,6682.8
1977,New Hampshire,2.2,9.39,2.2,9.39,2.2,9.39,60.6,625666.6667,418786.25,395552.1667,23234.08333,5.566666667,2081.8,6682.8
1977,New Jersey,2.2,9.39,2.2,9.39,2.2,9.39,60.6,5436833.333,3384369.25,3069749.75,314619.5,9.283333333,2081.8,6682.8
1977,New Mexico,2,8.54,2.2,9.39,2.2,9.39,60.6,838583.3333,511672.5,472207.1667,39465.33333,7.733333333,2081.8,6682.8
1977,New York,2.3,9.82,2.2,9.39,2.3,9.82,60.6,13244083.33,7730686.667,7022135,708551.6667,9.166666667,2081.8,6682.8
1977,North Carolina,2,8.54,2.2,9.39,2.2,9.39,60.6,4027333.333,2684559.417,2526364.417,158195,5.891666667,2081.8,6682.8
1977,North Dakota,2,8.54,2.2,9.39,2.2,9.39,60.6,453416.6667,288725.4167,275880.9167,12844.5,4.441666667,2081.8,6682.8
1977,Ohio,1.6,6.83,2.2,9.39,2.2,9.39,60.6,7812166.667,4830021.917,4517845.25,312176.6667,6.458333333,2081.8,6682.8
1977,Oklahoma,1.8,7.68,2.2,9.39,2.2,9.39,60.6,2065583.333,1238943.333,1179794.583,59148.75,4.766666667,2081.8,6682.8
1977,Oregon,2.3,9.82,2.2,9.39,2.3,9.82,60.6,1800333.333,1152429.417,1066863,85566.41667,7.433333333,2081.8,6682.8
1977,Pennsylvania,2.2,9.39,2.2,9.39,2.2,9.39,60.6,8879000,5214011.833,4810467.083,403544.75,7.741666667,2081.8,6682.8
1977,Rhode Island,2.3,9.82,2.2,9.39,2.3,9.82,60.6,706083.3333,448794.5,412663.25,36131.25,8.041666667,2081.8,6682.8
1977,South Carolina,0,0,2.2,9.39,2.2,9.39,60.6,2061250,1326958.917,1237431.25,89527.66667,6.733333333,2081.8,6682.8
1977,South Dakota,2,8.54,2.2,9.39,2.2,9.39,60.6,486583.3333,317315,306591.5,10723.5,3.375,2081.8,6682.8
1977,Tennessee,0,0,2.2,9.39,2.2,9.39,60.6,3188166.667,1937389.5,1816218.833,121170.6667,6.266666667,2081.8,6682.8
1977,Texas,1.4,5.98,2.2,9.39,2.2,9.39,60.6,9243166.667,5961241.5,5638432.833,322808.6667,5.433333333,2081.8,6682.8
1977,Utah,1.55,6.62,2.2,9.39,2.2,9.39,60.6,866000,546107.0833,517672.5,28434.58333,5.208333333,2081.8,6682.8
1977,Vermont,2.3,9.82,2.2,9.39,2.3,9.82,60.6,351583.3333,227844.9167,211879.4167,15965.5,7.008333333,2081.8,6682.8
1977,Virginia,2,8.54,2.2,9.39,2.2,9.39,60.6,3667666.667,2402533,2271687.083,130845.9167,5.45,2081.8,6682.8
1977,Washington,2.2,9.39,2.2,9.39,2.2,9.39,60.6,2719000,1705763.417,1562929.917,142833.5,8.375,2081.8,6682.8
1977,West Virginia,2,8.54,2.2,9.39,2.2,9.39,60.6,1394583.333,718867.0833,669203.5,49663.58333,6.916666667,2081.8,6682.8
1977,Wisconsin,2.1,8.96,2.2,9.39,2.2,9.39,60.6,3319416.667,2187798.417,2076978.25,110820.1667,5.058333333,2081.8,6682.8
1977,Wyoming,1.6,6.83,2.2,9.39,2.2,9.39,60.6,288833.3333,195055.75,188733.4167,6322.333333,3.241666667,2081.8,6682.8
1978,Alabama,0,0,2.2,8.73,2.2,8.73,65.2,2745083.333,1621167.417,1517318.417,103849,6.408333333,2351.6,7052.7
1978,Alaska,2.8,11.11,2.2,8.73,2.8,11.11,65.2,255000,181938.5,162600.4167,19338.08333,10.63333333,2351.6,7052.7
1978,Arizona,0,0,2.2,8.73,2.2,8.73,65.2,1809083.333,1084448.75,1019944.5,64504.25,5.95,2351.6,7052.7
1978,Arkansas,1.9,7.54,2.2,8.73,2.2,8.73,65.2,1616250,948550.5,889506.4167,59044.08333,6.225,2351.6,7052.7
1978,California,2,7.93,2.2,8.73,2.2,8.73,65.2,16761666.67,10913767.17,10135565.5,778201.6667,7.133333333,2351.6,7052.7
1978,Colorado,1,3.97,2.2,8.73,2.2,8.73,65.2,1994750,1354819,1279818.75,75000.25,5.558333333,2351.6,7052.7
1978,Connecticut,2.21,8.77,2.2,8.73,2.21,8.77,65.2,2312833.333,1513342.5,1433125.167,80217.33333,5.291666667,2351.6,7052.7
1978,Delaware,2,7.93,2.2,8.73,2.2,8.73,65.2,434750,277406.25,257790.8333,19615.41667,7.075,2351.6,7052.7
1978,District of Columbia,2.25,8.93,2.2,8.73,2.25,8.93,65.2,508750,332290.75,306388.8333,25901.91667,7.791666667,2351.6,7052.7
1978,Florida,0,0,2.2,8.73,2.2,8.73,65.2,6970583.333,3969766.917,3701643.333,268123.5833,6.758333333,2351.6,7052.7
1978,Georgia,1.25,4.96,2.2,8.73,2.2,8.73,65.2,3732166.667,2409213.417,2271740.167,137473.25,5.691666667,2351.6,7052.7
1978,Hawaii,2.4,9.52,2.2,8.73,2.4,9.52,65.2,624166.6667,421620.75,392321.3333,29299.41667,6.941666667,2351.6,7052.7
1978,Idaho,1.6,6.35,2.2,8.73,2.2,8.73,65.2,631666.6667,415416.5833,392547.75,22868.83333,5.491666667,2351.6,7052.7
1978,Illinois,2.1,8.33,2.2,8.73,2.2,8.73,65.2,8365416.667,5422903.167,5098505.5,324397.6667,5.983333333,2351.6,7052.7
1978,Indiana,1.25,4.96,2.2,8.73,2.2,8.73,65.2,3928916.667,2584742.333,2441123.333,143619,5.55,2351.6,7052.7
1978,Iowa,0,0,2.2,8.73,2.2,8.73,65.2,2129333.333,1415365.667,1360919.75,54445.91667,3.841666667,2351.6,7052.7
1978,Kansas,0,0,2.2,8.73,2.2,8.73,65.2,1697750,1136135.5,1101551.583,34583.91667,3.041666667,2351.6,7052.7
1978,Kentucky,1.6,6.35,2.2,8.73,2.2,8.73,65.2,2581583.333,1577516.75,1497891.333,79625.41667,5.05,2351.6,7052.7
1978,Louisiana,0,0,2.2,8.73,2.2,8.73,65.2,2836500,1668605.167,1555159.25,113445.9167,6.8,2351.6,7052.7
1978,Maine,2.3,9.12,2.2,8.73,2.3,9.12,65.2,805333.3333,485730.0833,454551.6667,31178.41667,6.416666667,2351.6,7052.7
1978,Maryland,2.2,8.73,2.2,8.73,2.2,8.73,65.2,3076916.667,2049470.25,1934700.25,114770,5.608333333,2351.6,7052.7
1978,Massachusetts,2.1,8.33,2.2,8.73,2.2,8.73,65.2,4297166.667,2813289.917,2640055.083,173234.8333,6.158333333,2351.6,7052.7
